Typology,Code Disease,Preferred term,Prevalence Type,Prevalence Value
Disease,166119,Isolated osteopoikilosis,Annual incidence,N/A
Disease,487,Krabbe disease,Prevalence at birth,N/A
Disease,487,Krabbe disease,Point prevalence,N/A
Disease,487,Krabbe disease,Prevalence at birth,N/A
Disease,487,Krabbe disease,Prevalence at birth,N/A
Disease,487,Krabbe disease,Prevalence at birth,N/A
Disease,487,Krabbe disease,Prevalence at birth,N/A
Disease,487,Krabbe disease,Prevalence at birth,N/A
Disease,487,Krabbe disease,Prevalence at birth,N/A
Disease,487,Krabbe disease,Prevalence at birth,N/A
Disease,487,Krabbe disease,Prevalence at birth,N/A
Disease,487,Krabbe disease,Prevalence at birth,N/A
Disease,487,Krabbe disease,Prevalence at birth,N/A
Clinical subtype,166260,Dentinogenesis imperfecta type 2,Point prevalence,N/A
Clinical subtype,166265,Dentinogenesis imperfecta type 3,Point prevalence,N/A
Disease,583,Mucopolysaccharidosis type 6,Prevalence at birth,N/A
Disease,583,Mucopolysaccharidosis type 6,Prevalence at birth,N/A
Disease,583,Mucopolysaccharidosis type 6,Prevalence at birth,N/A
Disease,583,Mucopolysaccharidosis type 6,Prevalence at birth,N/A
Disease,583,Mucopolysaccharidosis type 6,Prevalence at birth,N/A
Disease,583,Mucopolysaccharidosis type 6,Point prevalence,N/A
Disease,583,Mucopolysaccharidosis type 6,Prevalence at birth,N/A
Disease,583,Mucopolysaccharidosis type 6,Point prevalence,N/A
Disease,583,Mucopolysaccharidosis type 6,Prevalence at birth,N/A
Disease,583,Mucopolysaccharidosis type 6,Point prevalence,N/A
Disease,583,Mucopolysaccharidosis type 6,Prevalence at birth,N/A
Disease,583,Mucopolysaccharidosis type 6,Prevalence at birth,N/A
Disease,583,Mucopolysaccharidosis type 6,Prevalence at birth,N/A
Disease,583,Mucopolysaccharidosis type 6,Prevalence at birth,N/A
Disease,583,Mucopolysaccharidosis type 6,Prevalence at birth,N/A
Disease,583,Mucopolysaccharidosis type 6,Point prevalence,N/A
Disease,583,Mucopolysaccharidosis type 6,Point prevalence,N/A
Disease,583,Mucopolysaccharidosis type 6,Prevalence at birth,N/A
Disease,583,Mucopolysaccharidosis type 6,Prevalence at birth,N/A
Disease,583,Mucopolysaccharidosis type 6,Prevalence at birth,N/A
Disease,583,Mucopolysaccharidosis type 6,Prevalence at birth,N/A
Disease,583,Mucopolysaccharidosis type 6,Prevalence at birth,N/A
Disease,583,Mucopolysaccharidosis type 6,Prevalence at birth,N/A
Disease,583,Mucopolysaccharidosis type 6,Prevalence at birth,N/A
Disease,583,Mucopolysaccharidosis type 6,Prevalence at birth,N/A
Disease,583,Mucopolysaccharidosis type 6,Prevalence at birth,N/A
Disease,583,Mucopolysaccharidosis type 6,Point prevalence,N/A
Malformation syndrome,166272,Odontochondrodysplasia,Cases/families,N/A
Malformation syndrome,166272,Odontochondrodysplasia,Point prevalence,N/A
Disease,576,Mucolipidosis type II,Prevalence at birth,N/A
Disease,576,Mucolipidosis type II,Point prevalence,N/A
Disease,576,Mucolipidosis type II,Prevalence at birth,N/A
Disease,576,Mucolipidosis type II,Prevalence at birth,N/A
Disease,576,Mucolipidosis type II,Prevalence at birth,N/A
Disease,576,Mucolipidosis type II,Prevalence at birth,N/A
Malformation syndrome,166277,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,Cases/families,N/A
Malformation syndrome,166277,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,Point prevalence,N/A
Disease,812,Sialidosis type 1,Point prevalence,N/A
Disease,812,Sialidosis type 1,Prevalence at birth,N/A
Disease,166282,Familial sick sinus syndrome,Cases/families,N/A
Disease,166282,Familial sick sinus syndrome,Point prevalence,N/A
Disease,578,Mucolipidosis type IV,Point prevalence,N/A
Disease,578,Mucolipidosis type IV,Prevalence at birth,N/A
Disease,578,Mucolipidosis type IV,Prevalence at birth,N/A
Disease,166286,Porokeratotic eccrine ostial and dermal duct nevus,Cases/families,N/A
Disease,166286,Porokeratotic eccrine ostial and dermal duct nevus,Point prevalence,N/A
Disease,577,Mucolipidosis type III,Annual incidence,N/A
Disease,577,Mucolipidosis type III,Annual incidence,N/A
Disease,577,Mucolipidosis type III,Annual incidence,N/A
Disease,577,Mucolipidosis type III,Point prevalence,N/A
Disease,577,Mucolipidosis type III,Point prevalence,N/A
Disease,577,Mucolipidosis type III,Point prevalence,N/A
Disease,166291,Dirofilariasis,Point prevalence,N/A
Disease,166308,Benign infantile focal epilepsy with midline spikes and waves during sleep,Cases/families,N/A
Disease,166308,Benign infantile focal epilepsy with midline spikes and waves during sleep,Point prevalence,N/A
Disease,166305,Benign infantile seizures associated with mild gastroenteritis,Cases/families,N/A
Disease,166305,Benign infantile seizures associated with mild gastroenteritis,Point prevalence,N/A
Disease,2912,Poliomyelitis,Point prevalence,N/A
Disease,2912,Poliomyelitis,Annual incidence,N/A
Disease,796,Sandhoff disease,Prevalence at birth,N/A
Disease,796,Sandhoff disease,Prevalence at birth,N/A
Disease,796,Sandhoff disease,Prevalence at birth,N/A
Disease,796,Sandhoff disease,Prevalence at birth,N/A
Disease,796,Sandhoff disease,Prevalence at birth,N/A
Disease,796,Sandhoff disease,Prevalence at birth,N/A
Disease,796,Sandhoff disease,Prevalence at birth,N/A
Disease,796,Sandhoff disease,Point prevalence,N/A
Disease,796,Sandhoff disease,Prevalence at birth,N/A
Clinical group,801,Scleroderma,Annual incidence,N/A
Clinical group,801,Scleroderma,Point prevalence,N/A
Clinical group,801,Scleroderma,Annual incidence,N/A
Clinical group,801,Scleroderma,Point prevalence,N/A
Clinical group,801,Scleroderma,Point prevalence,N/A
Disease,461,Recessive X-linked ichthyosis,Annual incidence,N/A
Disease,461,Recessive X-linked ichthyosis,Point prevalence,N/A
Disease,461,Recessive X-linked ichthyosis,Annual incidence,N/A
Disease,584,Mucopolysaccharidosis type 7,Point prevalence,N/A
Disease,584,Mucopolysaccharidosis type 7,Prevalence at birth,N/A
Disease,584,Mucopolysaccharidosis type 7,Prevalence at birth,N/A
Disease,584,Mucopolysaccharidosis type 7,Prevalence at birth,N/A
Disease,584,Mucopolysaccharidosis type 7,Prevalence at birth,N/A
Disease,584,Mucopolysaccharidosis type 7,Prevalence at birth,N/A
Disease,584,Mucopolysaccharidosis type 7,Prevalence at birth,N/A
Disease,584,Mucopolysaccharidosis type 7,Point prevalence,N/A
Disease,584,Mucopolysaccharidosis type 7,Prevalence at birth,N/A
Disease,584,Mucopolysaccharidosis type 7,Prevalence at birth,N/A
Malformation syndrome,881,Turner syndrome,Prevalence at birth,N/A
Malformation syndrome,881,Turner syndrome,Prevalence at birth,N/A
Malformation syndrome,881,Turner syndrome,Prevalence at birth,N/A
Malformation syndrome,881,Turner syndrome,Prevalence at birth,N/A
Malformation syndrome,881,Turner syndrome,Prevalence at birth,N/A
Malformation syndrome,881,Turner syndrome,Prevalence at birth,N/A
Malformation syndrome,881,Turner syndrome,Prevalence at birth,N/A
Malformation syndrome,881,Turner syndrome,Prevalence at birth,N/A
Malformation syndrome,881,Turner syndrome,Prevalence at birth,N/A
Malformation syndrome,881,Turner syndrome,Prevalence at birth,N/A
Malformation syndrome,881,Turner syndrome,Prevalence at birth,N/A
Malformation syndrome,881,Turner syndrome,Prevalence at birth,N/A
Malformation syndrome,881,Turner syndrome,Prevalence at birth,N/A
Malformation syndrome,881,Turner syndrome,Prevalence at birth,N/A
Malformation syndrome,881,Turner syndrome,Prevalence at birth,N/A
Malformation syndrome,881,Turner syndrome,Prevalence at birth,N/A
Malformation syndrome,881,Turner syndrome,Prevalence at birth,N/A
Malformation syndrome,881,Turner syndrome,Prevalence at birth,N/A
Malformation syndrome,881,Turner syndrome,Prevalence at birth,N/A
Malformation syndrome,881,Turner syndrome,Prevalence at birth,N/A
Malformation syndrome,881,Turner syndrome,Prevalence at birth,N/A
Malformation syndrome,881,Turner syndrome,Prevalence at birth,N/A
Malformation syndrome,881,Turner syndrome,Point prevalence,N/A
Disease,95,Friedreich ataxia,Point prevalence,N/A
Disease,95,Friedreich ataxia,Point prevalence,N/A
Disease,95,Friedreich ataxia,Prevalence at birth,N/A
Disease,95,Friedreich ataxia,Point prevalence,N/A
Disease,95,Friedreich ataxia,Prevalence at birth,N/A
Disease,95,Friedreich ataxia,Point prevalence,N/A
Disease,95,Friedreich ataxia,Prevalence at birth,N/A
Disease,95,Friedreich ataxia,Point prevalence,N/A
Disease,95,Friedreich ataxia,Point prevalence,N/A
Disease,95,Friedreich ataxia,Point prevalence,N/A
Disease,95,Friedreich ataxia,Point prevalence,N/A
Disease,95,Friedreich ataxia,Point prevalence,N/A
Disease,95,Friedreich ataxia,Point prevalence,N/A
Disease,95,Friedreich ataxia,Point prevalence,N/A
Disease,95,Friedreich ataxia,Point prevalence,N/A
Disease,95,Friedreich ataxia,Point prevalence,N/A
Disease,95,Friedreich ataxia,Point prevalence,N/A
Disease,848,Beta-thalassemia,Annual incidence,N/A
Disease,848,Beta-thalassemia,Point prevalence,N/A
Disease,848,Beta-thalassemia,Annual incidence,N/A
Disease,848,Beta-thalassemia,Point prevalence,N/A
Disease,846,Alpha-thalassemia,Prevalence at birth,N/A
Disease,846,Alpha-thalassemia,Prevalence at birth,N/A
Disease,846,Alpha-thalassemia,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Prevalence at birth,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Disease,586,Cystic fibrosis,Annual incidence,N/A
Disease,586,Cystic fibrosis,Point prevalence,N/A
Clinical group,262,Duchenne and Becker muscular dystrophy,Point prevalence,N/A
Clinical group,262,Duchenne and Becker muscular dystrophy,Point prevalence,N/A
Clinical group,262,Duchenne and Becker muscular dystrophy,Point prevalence,N/A
Disease,261,Emery-Dreifuss muscular dystrophy,Point prevalence,N/A
Disease,550,MELAS,Point prevalence,N/A
Disease,550,MELAS,Point prevalence,N/A
Disease,550,MELAS,Point prevalence,N/A
Disease,550,MELAS,Point prevalence,N/A
Disease,550,MELAS,Point prevalence,N/A
Disease,269,Facioscapulohumeral dystrophy,Point prevalence,N/A
Disease,269,Facioscapulohumeral dystrophy,Point prevalence,N/A
Disease,269,Facioscapulohumeral dystrophy,Point prevalence,N/A
Disease,269,Facioscapulohumeral dystrophy,Point prevalence,N/A
Disease,269,Facioscapulohumeral dystrophy,Point prevalence,N/A
Disease,269,Facioscapulohumeral dystrophy,Annual incidence,N/A
Disease,480,Kearns-Sayre syndrome,Point prevalence,N/A
Disease,480,Kearns-Sayre syndrome,Point prevalence,N/A
Disease,480,Kearns-Sayre syndrome,Point prevalence,N/A
Disease,480,Kearns-Sayre syndrome,Prevalence at birth,N/A
Category,593,Myofibrillar myopathy,Point prevalence,N/A
Disease,551,MERRF,Prevalence at birth,N/A
Disease,551,MERRF,Point prevalence,N/A
Disease,597,Central core disease,Point prevalence,N/A
Disease,597,Central core disease,Point prevalence,N/A
Clinical group,607,Nemaline myopathy,Prevalence at birth,N/A
Clinical group,607,Nemaline myopathy,Point prevalence,N/A
Disease,163746,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,Cases/families,N/A
Disease,163746,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,Point prevalence,N/A
Disease,684,Paramyotonia congenita of Von Eulenburg,Point prevalence,N/A
Disease,684,Paramyotonia congenita of Von Eulenburg,Point prevalence,N/A
Disease,684,Paramyotonia congenita of Von Eulenburg,Point prevalence,N/A
Disease,684,Paramyotonia congenita of Von Eulenburg,Point prevalence,N/A
Disease,273,Steinert myotonic dystrophy,Point prevalence,N/A
Disease,273,Steinert myotonic dystrophy,Point prevalence,N/A
Disease,273,Steinert myotonic dystrophy,Point prevalence,N/A
Disease,273,Steinert myotonic dystrophy,Point prevalence,N/A
Disease,273,Steinert myotonic dystrophy,Point prevalence,N/A
Disease,273,Steinert myotonic dystrophy,Point prevalence,N/A
Disease,273,Steinert myotonic dystrophy,Point prevalence,N/A
Disease,273,Steinert myotonic dystrophy,Point prevalence,N/A
Disease,273,Steinert myotonic dystrophy,Point prevalence,N/A
Disease,273,Steinert myotonic dystrophy,Point prevalence,N/A
Disease,273,Steinert myotonic dystrophy,Annual incidence,N/A
Disease,273,Steinert myotonic dystrophy,Point prevalence,N/A
Disease,273,Steinert myotonic dystrophy,Point prevalence,N/A
Disease,273,Steinert myotonic dystrophy,Point prevalence,N/A
Disease,273,Steinert myotonic dystrophy,Point prevalence,N/A
Disease,273,Steinert myotonic dystrophy,Point prevalence,N/A
Disease,163937,"X-linked intellectual disability, Najm type",Cases/families,N/A
Disease,163937,"X-linked intellectual disability, Najm type",Point prevalence,N/A
Disease,163934,Atopic keratoconjunctivitis,Point prevalence,N/A
Disease,614,Thomsen and Becker disease,Point prevalence,N/A
Disease,614,Thomsen and Becker disease,Point prevalence,N/A
Disease,614,Thomsen and Becker disease,Point prevalence,N/A
Disease,614,Thomsen and Becker disease,Point prevalence,N/A
Disease,614,Thomsen and Becker disease,Point prevalence,N/A
Disease,614,Thomsen and Becker disease,Point prevalence,N/A
Particular clinical situation in a disease or syndrome,163921,Posttransplant acute limbic encephalitis,Point prevalence,N/A
Disease,163966,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",Cases/families,N/A
Disease,163966,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",Point prevalence,N/A
Disease,163971,"X-linked intellectual disability, Cilliers type",Point prevalence,N/A
Disease,163971,"X-linked intellectual disability, Cilliers type",Cases/families,N/A
Malformation syndrome,163976,"X-linked intellectual disability, Van Esch type",Point prevalence,N/A
Malformation syndrome,163976,"X-linked intellectual disability, Van Esch type",Cases/families,N/A
Disease,163979,X-linked intellectual disability-craniofacioskeletal syndrome,Point prevalence,N/A
Disease,163979,X-linked intellectual disability-craniofacioskeletal syndrome,Cases/families,N/A
Disease,163956,"X-linked intellectual disability, Nascimento type",Cases/families,N/A
Disease,163956,"X-linked intellectual disability, Nascimento type",Point prevalence,N/A
Disease,163961,X-linked cerebral-cerebellar-coloboma syndrome,Point prevalence,N/A
Disease,163961,X-linked cerebral-cerebellar-coloboma syndrome,Cases/families,N/A
Disease,324,Fabry disease,Prevalence at birth,N/A
Disease,324,Fabry disease,Prevalence at birth,N/A
Disease,324,Fabry disease,Prevalence at birth,N/A
Disease,324,Fabry disease,Prevalence at birth,N/A
Disease,324,Fabry disease,Prevalence at birth,N/A
Disease,324,Fabry disease,Prevalence at birth,N/A
Disease,324,Fabry disease,Point prevalence,N/A
Disease,324,Fabry disease,Prevalence at birth,N/A
Disease,324,Fabry disease,Point prevalence,N/A
Disease,324,Fabry disease,Prevalence at birth,N/A
Disease,324,Fabry disease,Point prevalence,N/A
Disease,163985,Hyperekplexia-epilepsy syndrome,Cases/families,N/A
Disease,163985,Hyperekplexia-epilepsy syndrome,Point prevalence,N/A
Disease,778,Rett syndrome,Prevalence at birth,N/A
Disease,778,Rett syndrome,Point prevalence,N/A
Disease,778,Rett syndrome,Point prevalence,N/A
Disease,778,Rett syndrome,Point prevalence,N/A
Disease,778,Rett syndrome,Point prevalence,N/A
Disease,778,Rett syndrome,Point prevalence,N/A
Disease,778,Rett syndrome,Prevalence at birth,N/A
Disease,778,Rett syndrome,Point prevalence,N/A
Disease,778,Rett syndrome,Prevalence at birth,N/A
Disease,778,Rett syndrome,Point prevalence,N/A
Disease,778,Rett syndrome,Point prevalence,N/A
Malformation syndrome,72,Angelman syndrome,Point prevalence,N/A
Malformation syndrome,72,Angelman syndrome,Prevalence at birth,N/A
Malformation syndrome,72,Angelman syndrome,Point prevalence,N/A
Malformation syndrome,72,Angelman syndrome,Prevalence at birth,N/A
Malformation syndrome,72,Angelman syndrome,Point prevalence,N/A
Malformation syndrome,72,Angelman syndrome,Prevalence at birth,N/A
Malformation syndrome,72,Angelman syndrome,Point prevalence,N/A
Malformation syndrome,72,Angelman syndrome,Prevalence at birth,N/A
Malformation syndrome,72,Angelman syndrome,Point prevalence,N/A
Malformation syndrome,72,Angelman syndrome,Point prevalence,N/A
Malformation syndrome,72,Angelman syndrome,Prevalence at birth,N/A
Malformation syndrome,72,Angelman syndrome,Point prevalence,N/A
Disease,307,Juvenile myoclonic epilepsy,Point prevalence,N/A
Disease,1941,Juvenile absence epilepsy,Annual incidence,N/A
Disease,1941,Juvenile absence epilepsy,Point prevalence,N/A
Disease,892,Von Hippel-Lindau disease,Prevalence at birth,N/A
Disease,892,Von Hippel-Lindau disease,Point prevalence,N/A
Disease,892,Von Hippel-Lindau disease,Point prevalence,N/A
Disease,892,Von Hippel-Lindau disease,Point prevalence,N/A
Disease,892,Von Hippel-Lindau disease,Prevalence at birth,N/A
