DATAFLOW,LAST UPDATE,freq,sex,age,sizes,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Greece,2013,50.5,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Greece,2020,73.6,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Spain,2007,32.9,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Spain,2013,33.4,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Spain,2020,54.9,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,European Union - 27 countries (from 2020),2007,28.2,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,European Union - 27 countries (from 2020),2013,33.0,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,European Union - 27 countries (from 2020),2020,47.6,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,European Union - 28 countries (2013-2020),2007,30.5,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,European Union - 28 countries (2013-2020),2013,34.1,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Finland,2007,41.4,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Finland,2013,41.5,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Finland,2020,63.3,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,France,2007,55.9,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,France,2013,65.1,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,France,2020,60.8,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Croatia,2007,13.2,u,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Croatia,2013,19.8,u,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Croatia,2020,51.3,bu,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Hungary,2007,18.0,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Hungary,2013,29.9,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Hungary,2020,35.6,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Ireland,2007,14.7,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Ireland,2013,28.4,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Ireland,2020,58.8,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Iceland,2007,37.1,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Iceland,2020,75.5,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Italy,2007,19.7,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Italy,2013,34.7,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Italy,2020,49.8,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Lithuania,2007,23.5,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Lithuania,2013,20.4,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Lithuania,2020,27.5,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Luxembourg,2007,5.4,du,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Luxembourg,2013,56.9,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Luxembourg,2020,79.0,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Latvia,2007,,du,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Latvia,2013,30.4,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Latvia,2020,48.1,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Malta,2007,28.7,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Malta,2013,14.8,bu,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Malta,2020,53.7,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Netherlands,2007,37.3,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Netherlands,2020,61.0,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Norway,2013,23.0,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Norway,2020,81.2,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Poland,2007,24.8,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Poland,2013,19.0,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Poland,2020,45.8,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Portugal,2007,23.2,u,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Portugal,2013,44.8,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Portugal,2020,59.5,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Romania,2007,27.7,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Romania,2013,25.1,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Romania,2020,57.5,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Sweden,2007,40.5,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Sweden,2013,48.8,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Sweden,2020,84.1,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Slovenia,2020,31.2,bu,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Slovakia,2007,20.1,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Slovakia,2013,27.0,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Slovakia,2020,57.4,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Türkiye,2013,10.9,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,United Kingdom,2007,39.8,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,United Kingdom,2013,,u,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Austria,2007,22.6,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Austria,2013,37.7,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Austria,2020,67.1,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Belgium,2007,13.5,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Belgium,2013,23.1,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Belgium,2020,50.6,bu,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Bulgaria,2007,14.0,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Bulgaria,2013,11.0,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Bulgaria,2020,45.8,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Switzerland,2013,35.5,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Switzerland,2020,69.1,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Cyprus,2007,48.8,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Cyprus,2013,29.5,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Cyprus,2020,42.9,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Czechia,2007,12.7,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Czechia,2013,18.6,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Czechia,2020,34.4,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Germany,2007,11.2,u,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Germany,2013,13.6,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Germany,2020,22.1,bu,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Denmark,2007,17.7,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Denmark,2013,14.2,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Denmark,2020,40.0,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Euro area - 19 countries  (2015-2022),2007,24.2,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Euro area - 19 countries  (2015-2022),2013,30.6,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Euro area - 19 countries  (2015-2022),2020,43.2,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Estonia,2007,14.3,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Estonia,2013,22.4,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Estonia,2020,41.1,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Greece,2007,17.0,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Greece,2013,38.6,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Greece,2020,74.5,bu,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Spain,2007,22.8,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Spain,2013,27.3,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Spain,2020,50.7,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,European Union - 27 countries (from 2020),2007,23.0,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,European Union - 27 countries (from 2020),2013,27.4,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,European Union - 27 countries (from 2020),2020,45.4,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,European Union - 28 countries (2013-2020),2007,24.1,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,European Union - 28 countries (2013-2020),2013,27.9,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Finland,2007,44.5,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Finland,2013,45.3,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Finland,2020,64.2,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,France,2007,51.5,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,France,2013,63.5,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,France,2020,57.4,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Croatia,2007,15.9,u,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Croatia,2013,17.2,u,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Croatia,2020,55.4,bu,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Hungary,2007,12.5,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Hungary,2013,18.5,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Hungary,2020,35.9,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Ireland,2007,10.6,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Ireland,2013,24.1,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Ireland,2020,57.3,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Iceland,2007,27.9,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Iceland,2020,67.0,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Italy,2007,12.9,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Italy,2013,23.2,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Italy,2020,38.2,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Lithuania,2007,15.4,u,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Lithuania,2013,11.3,u,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Lithuania,2020,17.2,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Luxembourg,2007,,du,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Luxembourg,2013,55.3,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Luxembourg,2020,67.5,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Latvia,2007,,du,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Latvia,2013,22.5,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Latvia,2020,53.0,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Malta,2007,22.1,du,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Malta,2013,,bu,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Malta,2020,42.4,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Netherlands,2007,30.4,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Netherlands,2020,53.8,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Norway,2013,16.6,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Norway,2020,80.6,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Poland,2007,19.7,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Poland,2013,14.4,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Poland,2020,46.4,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Portugal,2007,,u,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Portugal,2013,37.9,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Portugal,2020,57.0,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Romania,2007,20.9,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Romania,2013,18.9,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Romania,2020,62.2,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Sweden,2007,35.8,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Medium,Percentage of total employment,Sweden,2013,42.6,,
